Symbol,Year,Month,Avg_Close,Month_High,Month_Low,Avg_Volume,Avg_Return,Avg_Volatility,Avg_RSI,Trading_Days
BAJFINANCE,2024,7,692.93,728.01,650.09,10728350.0,-0.19,9.18,40.75,22
BAJFINANCE,2024,8,667.08,717.08,638.56,9694640.0,0.27,9.06,46.44,21
BAJFINANCE,2024,9,743.66,777.6,714.89,15170153.0,0.33,12.34,71.85,21
BAJFINANCE,2024,10,704.25,776.67,656.05,10813620.0,-0.49,14.52,34.74,22
BAJFINANCE,2024,11,666.64,699.58,641.14,7881846.0,-0.23,9.15,39.25,19
BAJFINANCE,2024,12,687.7,721.29,645.12,10066617.0,0.18,11.08,61.79,21
BAJFINANCE,2025,1,734.25,820.01,676.43,13440940.0,0.65,14.02,60.11,23
BAJFINANCE,2025,2,835.31,868.54,773.67,13944861.0,0.41,16.36,69.84,20
BAJFINANCE,2025,3,859.83,920.33,816.09,12013961.0,0.26,13.94,58.25,19
BAJFINANCE,2025,4,890.18,960.08,825.62,13267521.0,-0.17,15.34,57.57,19
BAJFINANCE,2025,5,903.02,929.19,851.35,9438150.0,0.33,12.75,53.03,21
BAJFINANCE,2025,6,925.83,978.8,886.0,10397137.0,0.11,15.58,52.92,21
BAJFINANCE,2025,7,925.15,970.95,868.0,7383763.0,-0.25,16.69,49.8,23
BAJFINANCE,2025,8,881.85,919.65,849.0,6530799.0,-0.01,13.26,41.02,19
BAJFINANCE,2025,9,974.6,1036.0,877.85,8136996.0,0.6,18.85,75.7,22
BAJFINANCE,2025,10,1047.25,1102.5,972.0,6885995.0,0.21,15.84,64.49,21
BAJFINANCE,2025,11,1025.09,1088.0,981.3,7726656.0,0.0,18.73,42.07,19
BAJFINANCE,2025,12,1011.2,1061.0,978.4,5793246.0,-0.22,10.36,45.55,22
BAJFINANCE,2026,1,951.79,999.15,907.7,7155556.0,-0.27,11.24,30.77,21
BAJFINANCE,2026,2,995.09,1046.0,887.0,8589351.0,0.36,17.19,62.56,20
BAJFINANCE,2026,3,958.99,990.4,941.3,7549717.0,-1.15,27.67,40.89,4
HDFCBANK,2020,1,595.17,617.96,573.87,12370294.0,-0.19,6.97,43.29,22
HDFCBANK,2020,2,578.31,596.67,554.15,13296098.0,-0.21,6.13,41.43,19
HDFCBANK,2020,3,465.33,568.85,349.86,45059597.0,-1.32,24.79,19.86,21
HDFCBANK,2020,4,432.29,482.59,383.61,44193508.0,0.9,14.44,54.26,18
HDFCBANK,2020,5,424.67,454.64,391.23,40336164.0,-0.21,13.71,45.06,19
HDFCBANK,2020,6,479.96,512.71,439.49,42543944.0,0.54,13.59,63.3,22
HDFCBANK,2020,7,517.06,548.39,483.08,30676583.0,-0.12,11.81,60.0,23
HDFCBANK,2020,8,505.8,544.06,470.27,27831487.0,0.38,9.75,51.27,21
HDFCBANK,2020,9,511.58,542.71,485.43,18956263.0,-0.15,6.89,46.33,22
HDFCBANK,2020,10,566.34,592.46,516.26,24345688.0,0.46,13.58,68.04,21
HDFCBANK,2020,11,644.55,693.52,557.65,25600227.0,1.01,15.38,71.04,20
HDFCBANK,2020,12,662.64,686.23,636.98,20406312.0,0.0,10.35,50.59,22
HDFCBANK,2021,1,684.49,715.9,635.55,20320975.0,-0.15,9.53,61.38,20
HDFCBANK,2021,2,745.65,777.16,663.5,19935933.0,0.53,19.79,60.61,20
HDFCBANK,2021,3,720.76,757.74,686.82,17157484.0,-0.11,11.47,41.98,21
HDFCBANK,2021,4,676.73,712.11,640.76,24817926.0,-0.28,13.26,40.95,19
