Date,Open,High,Low,Close,Volume,Symbol,MA_7,MA_14,MA_30,Daily_Return,Volatility_7,Price_Range,RSI,MA_Signal,Year,Month
2021-06-23,592.73,599.0,587.84,589.27,12382150.0,BAJFINANCE,595.13,588.31,568.64,-0.02,5.19,11.16,54.42,Bullish,2021,6
2021-06-24,590.38,598.32,588.82,592.01,10824210.0,BAJFINANCE,593.49,588.66,570.87,0.46,3.69,9.5,52.04,Bullish,2021,6
2021-06-25,593.32,598.22,590.7,595.16,9619940.0,BAJFINANCE,593.41,591.08,573.31,0.53,3.64,7.52,67.36,Bullish,2021,6
2021-06-28,597.53,599.27,589.21,591.37,8284810.0,BAJFINANCE,593.22,593.06,575.29,-0.64,3.72,10.06,63.95,Bullish,2021,6
2021-06-29,591.66,601.22,587.94,592.87,13100790.0,BAJFINANCE,592.74,595.7,576.48,0.25,3.47,13.28,70.02,Bullish,2021,6
2021-06-30,592.64,599.98,587.74,589.29,12257940.0,BAJFINANCE,591.34,595.21,577.73,-0.6,2.23,12.24,43.79,Bullish,2021,6
2021-07-01,591.66,591.66,581.86,584.52,11206010.0,BAJFINANCE,590.64,594.14,578.97,-0.81,3.39,9.8,36.91,Bullish,2021,7
2021-07-02,587.74,590.68,584.31,587.52,8112980.0,BAJFINANCE,590.39,592.76,580.16,0.51,3.57,6.37,31.81,Bullish,2021,7
2021-07-05,590.58,597.14,588.33,594.86,8631790.0,BAJFINANCE,590.8,592.14,581.7,1.25,3.93,8.81,42.4,Bullish,2021,7
2021-07-06,593.13,621.32,592.93,607.56,34913930.0,BAJFINANCE,592.57,592.99,583.6,2.13,7.44,28.39,59.55,Bullish,2021,7
2021-07-07,609.29,615.75,603.45,607.19,19479250.0,BAJFINANCE,594.83,594.03,585.0,-0.06,9.21,12.3,62.27,Bullish,2021,7
2021-07-08,606.35,610.36,596.58,600.25,11305600.0,BAJFINANCE,595.88,594.31,586.45,-1.14,9.37,13.78,53.18,Bullish,2021,7
